member_name_last_first,state,party,amount_requested_in_thousands_of_dollars,fiscal_year
"Bice,Stephanie I.",OK,Republican,5800,2024
"Bice,Stephanie I.",OK,Republican,1156,2024
"Carter, JohnR.",TX,Republican,179000,2024
"Carter, JohnR.",TX,Republican,26800,2024
"Case, Ed",HI,Democratic,23000,2024
"Case, Ed",HI,Democratic,5400,2024
"Cole, Tom",OK,Republican,5800,2024
"Escobar,Veronica",TX,Democratic,7200,2024
"Ezell, Mike",MS,Republican,1960,2024
"Gaetz, Matt",FL,Republican,141500,2024
"Hudson,Richard",NC,Republican,64000,2024
"Hudson,Richard",NC,Republican,36000,2024
"Hudson,Richard",NC,Republican,31000,2024
"Johnson,Mike",LA,Republican,7000,2024
"Levin, Mike",CA,Democratic,26825,2024
"Lofgren, Zoe",CA,Democratic,40000,2024
"Loudermilk,Barry",GA,Republican,12000,2024
"Loudermilk,Barry",GA,Republican,26000,2024
"Loudermilk,Barry",GA,Republican,22000,2024
"Lucas, FrankD.",OK,Republican,22000,2024
"Lucas, FrankD.",OK,Republican,84000,2024
"Meuser,Daniel",PA,Republican,15500,2024
"Nadler,Jerrold",NY,Democratic,90000,2024
"Pfluger,August",TX,Republican,82000,2024
"Rogers, Mike",AL,Republican,55389,2024
"Rogers, Mike",AL,Republican,81289,2024
"Rogers, Mike",AL,Republican,28979,2024
"Tokuda, JillN.",HI,Democratic,227350,2024
"Turner,Michael R.",OH,Republican,19800,2024
"Waltz,Michael",FL,Republican,30520,2024
"Waltz,Michael",FL,Republican,11000,2024
"Waltz,Michael",FL,Republican,23000,2024
"Waltz,Michael",FL,Republican,8600,2024
"Waltz,Michael",FL,Republican,8400,2024
"Waltz,Michael",FL,Republican,16000,2024
"Waltz,Michael",FL,Republican,14600,2024
"Waltz,Michael",FL,Republican,6000,2024
"Waltz,Michael",FL,Republican,8000,2024
"Waltz,Michael",FL,Republican,15000,2024
"Bacon, Don",NE,Republican,158200,2025
"BluntRochester,Lisa",DE,Democratic,4200,2025
"Case, Ed",HI,Democratic,160000,2025
"Crow, Jason",CO,Democratic,65000,2025
"Davis, Donald",NC,Democratic,41000,2025
"DesJarlais,Scott",TN,Republican,5100,2025
"DesJarlais,Scott",TN,Republican,21000,2025
"DesJarlais,Scott",TN,Republican,55000,2025
"Ellzey, Jake",TX,Republican,75000,2025
"Escobar,Veronica",TX,Democratic,7100,2025
"Escobar,Veronica",TX,Democratic,72800,2025
"Gaetz, Matt",FL,Republican,160480,2025
"Gaetz, Matt",FL,Republican,34000,2025
"Gaetz, Matt",FL,Republican,96000,2025
"Gaetz, Matt",FL,Republican,169000,2025
"Gaetz, Matt",FL,Republican,73235,2025
"Gaetz, Matt",FL,Republican,91500,2025
"Garamendi,John",CA,Democratic,148000,2025
"Garcia,Robert",CA,Democratic,55000,2025
"Golden, JaredF.",ME,Democratic,1000,2025
"Gonzales,Tony",TX,Republican,75000,2025
"González-Colón,Jenniffer",PR,Republican,63000,2025
"Guthrie, Brett",KY,Republican,138000,2025
"James, John",MI,Republican,5100,2025
"Johnson,Mike",LA,Republican,22000,2025
"Kiggans,Jennifer A.",VA,Republican,1200,2025
"Kiggans,Jennifer A.",VA,Republican,73320,2025
"Kiggans,Jennifer A.",VA,Republican,1200,2025
"Kim, Andy",NJ,Democratic,15000,2025
"Levin, Mike",CA,Democratic,75661,2025
"Moylan,James C.",GA,Republican,241880,2025
"Rogers, Mike",AL,Republican,34200,2025
"Rogers, Mike",AL,Republican,73800,2025
"Rutherford,John H.",FL,Republican,66650,2025
"Sherrill,Mikie",NJ,Democratic,6800,2025
"Sherrill,Mikie",NJ,Democratic,11800,2025
"Strickland,Marilyn",WA,Democratic,2900,2025
"Turner,Michael R.",OH,Republican,9200,2025
"Turner,Michael R.",OH,Republican,40000,2025
"Waltz,Michael",FL,Republican,11400,2025
"Womack,Steve",AR,Republican,74000,2025
"Bacon, Don",NE,Republican,8500,2026
"Bacon, Don",NE,Republican,6000,2026
"Bacon, Don",NE,Republican,15000,2026
"Bacon, Don",NE,Republican,132000,2026
"Cole, Tom",OK,Republican,9300,2026
"Conaway, HerbertC., Jr.",NJ,Democratic,16000,2026
"Davis, Donald",NC,Democratic,41000,2026
"DesJarlais, Scott",TN,Republican,91000,2026
"DesJarlais, Scott",TN,Republican,40000,2026
"DesJarlais, Scott",TN,Republican,20000,2026
"DesJarlais, Scott",TN,Republican,55000,2026
"Ellzey, Jake",TX,Republican,50000,2026
"Feenstra, Randy",IA,Republican,77000,2026
"Fong, Vince",CA,Republican,5000,2026
"Fong, Vince",CA,Republican,1876,2026
"Gimenez, Carlos A.",FL,Republican,90000,2026
"DesJarlais, Scott",TN,Republican,20000,2026
"DesJarlais, Scott",TN,Republican,55000,2026
"Ellzey, Jake",TX,Republican,50000,2026
"Feenstra, Randy",IA,Republican,77000,2026
"Fong, Vince",CA,Republican,5000,2026
"Fong, Vince",CA,Republican,1876,2026
"Gimenez, Carlos A.",FL,Republican,90000,2026
"Gonzales, Tony",TX,Republican,5000,2026
"Guthrie, Brett",KY,Republican,138000,2026
"Hudson, Richard",NC,Republican,81000,2026
"Hudson, Richard",NC,Republican,44700,2026
"Hudson, Richard",NC,Republican,49000,2026
"Jacobs, Sara",CA,Democratic,67690,2026
"Kiggans, Jennifer A.",VA,Republican,12000,2026
"Kiggans, Jennifer A.",VA,Republican,15000,2026
"Loudermilk, Barry",GA,Republican,3200,2026
"Gonzales, Tony",TX,Republican,5000,2026
"Guthrie, Brett",KY,Republican,138000,2026
"Hudson, Richard",NC,Republican,81000,2026
"Hudson, Richard",NC,Republican,44700,2026
"Hudson, Richard",NC,Republican,49000,2026
"Jacobs, Sara",CA,Democratic,67690,2026
"Kiggans, Jennifer A.",VA,Republican,12000,2026
"Kiggans, Jennifer A.",VA,Republican,15000,2026
"Loudermilk, Barry",GA,Republican,3200,2026
"Moore, Blake D.",UT,Republican,59000,2026
"Moylan, James C.",GU,Republican,241880,2026
"Olszewski, Johnny,Jr.",MD,Democratic,2000,2026
"Rogers, Mike",AL,Republican,89000,2026
"Rogers, Mike",AL,Republican,32000,2026
"Moore, Blake D.",UT,Republican,59000,2026
"Moylan, James C.",GU,Republican,241880,2026
"Olszewski, Johnny,Jr.",MD,Democratic,2000,2026
"Rogers, Mike",AL,Republican,89000,2026
"Rogers, Mike",AL,Republican,32000,2026
"Rutherford, John H.",FL,Republican,265150,2026
"Rutherford, John H.",FL,Republican,82140,2026
"Rutherford, John H.",FL,Republican,374660,2026
"Rutherford, John H.",FL,Republican,45750,2026
"Strickland, Marilyn",WA,Democratic,2800,2026
"Strickland, Marilyn",WA,Democratic,68095,2026
"Van Drew, Jefferson",NJ,Republican,68000,2026
"Wittman, Robert J.",VA,Republican,2200,2026
"Rutherford, John H.",FL,Republican,82140,2026
"Rutherford, John H.",FL,Republican,374660,2026
"Rutherford, John H.",FL,Republican,45750,2026
"Strickland, Marilyn",WA,Democratic,2800,2026
"Strickland, Marilyn",WA,Democratic,68095,2026
"Van Drew, Jefferson",NJ,Republican,68000,2026
"Wittman, Robert J.",VA,Republican,2200,2026